,Kelurahan,Kecamatan,Nama SMA,Alamat
13,Kartini,SAWAH BESAR,Sekolah Menengah Kejuruan KARTINI 1,"Alamat: Jl. Kartini Raya No.26, RT.14/RW.5, Kartini, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10750 "
14,Mangga Dua Sel.,SAWAH BESAR,SMA Negeri 10 Jakarta,"Alamat: Jl. Mangga Besar XIII No.1, RT.6/RW.1, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
15,Mangga Dua Sel.,SAWAH BESAR,SMAS Budi Mulia,"Alamat: Jl. Raya Mangga Besar No.135, RW.1, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
16,Kec. Kemayoran,KEMAYORAN,SMA Negeri 5 Jakarta,"Alamat: Jl. Sumur Batu Raya No.14, RW.1, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10660 "
17,Kec. Kemayoran,KEMAYORAN,Sekolah Menengah Pertama (SMP) Terbuka Kec Kemayoran,"Alamat: Jl. Dakota Raya RT.04 / RW.09, Kebon Kosong, Kemayoran, RT.4/RW.9, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630 "
18,Kec. Kemayoran,KEMAYORAN,Sekolah Menengah Atas Paskalis,"Alamat: Jl. Ranjau No.13, RT.13/RW.4, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
19,Kec. Kemayoran,KEMAYORAN,Sekolah Menengah Atas Kartini,"Alamat: Jl. Kalibaru Timur V No.1, RT.1/RW.9, Utan Panjang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10460 "
20,Kec. Kemayoran,KEMAYORAN,SMA Muhammadiyah 2 Jakarta,"Alamat: 9, Jl. Garuda No.33, RT.9/RW.6, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
21,Kec. Kemayoran,KEMAYORAN,Sekolah Menengah Atas Kristen BPK Penabur 3,"Alamat: Jl. Gn. Sahari No.90A, RT.14/RW.8, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
22,Kec. Kemayoran,KEMAYORAN,SMA Tamansiswa,"Alamat: Jl. Garuda No.31, RT.7/RW.4, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
23,Kb. Kosong,KEMAYORAN,Sekolah Menengah Pertama (SMP) Terbuka Kec Kemayoran,"Alamat: Jl. Dakota Raya RT.04 / RW.09, Kebon Kosong, Kemayoran, RT.4/RW.9, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630 "
24,Kb. Kosong,KEMAYORAN,SMA Taman Siswa 1,"Alamat: 12, Jl. Gg. Mht No.26, RT.12/RW.7, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630 "
25,Serdang,KEMAYORAN,SMA Taman Madya 1,"Alamat: Jalan Sunter Bendungan Jago No.11, Kemayoran, RT.16/RW.2, Serdang, Jakarta Pusat, DKI Jakarta, Daerah Khusus Ibukota Jakarta 10650 "
26,Gn. Sahari Sel.,KEMAYORAN,Sekolah Menengah Atas Kristen BPK Penabur 3,"Alamat: Jl. Gn. Sahari No.90A, RT.14/RW.8, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
27,Gn. Sahari Sel.,KEMAYORAN,SMA Muhammadiyah 2 Jakarta,"Alamat: 9, Jl. Garuda No.33, RT.9/RW.6, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
28,Gn. Sahari Sel.,KEMAYORAN,SMA Tamansiswa,"Alamat: Jl. Garuda No.31, RT.7/RW.4, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
29,Gn. Sahari Sel.,KEMAYORAN,SMK Strada 1,"Alamat: Jl. Gn. Sahari No.88, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
30,Cemp. Baru,KEMAYORAN,SMP / SMA PERGURUAN NASIONAL 1,"Alamat: Jln. Cempaka Baru Timur I RT. 015 / 03 No. 1, Jl. Cempaka Baru Timur No.2C, RT.14/RW.3, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
31,Sumur Batu,KEMAYORAN,SMA Negeri 5 Jakarta,"Alamat: Jl. Sumur Batu Raya No.14, RW.1, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10660 "
32,Sumur Batu,KEMAYORAN,Sekolah Menengah Atas Paskalis,"Alamat: Jl. Ranjau No.13, RT.13/RW.4, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
33,Sumur Batu,KEMAYORAN,SMK Poncol,"Alamat: Jl. Mutiara Raya No.1, RT.14/RW.3, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
34,Utan Panjang,KEMAYORAN,Sekolah Menengah Atas Kartini,"Alamat: Jl. Kalibaru Timur V No.1, RT.1/RW.9, Utan Panjang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10460 "
35,Senen,SENEN,SMA PSKD 3 Jakarta,"Alamat: Jl. Kwini I No.1, RT.5/RW.1, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410 "
36,Kenari,SENEN,SMA Negeri 68 Jakarta,"Alamat: Jl. Salemba Raya No.18, RT.3/RW.6, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
37,Kenari,SENEN,Sekolah Menegah Atas (SMA) PSKD 1 Jakarta,"Alamat: Jl. Pangeran Diponegoro No.80, RT.2/RW.6, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
38,Kenari,SENEN,SMK SINT JOSEPH,"Alamat: RR6R+XR2, Jl. Kramat Raya, RT.1/RW.9, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
39,Paseban,SENEN,Sekolah Menengah Atas Advent Salemba,"Alamat: Jl. Salemba Bluntas No.77, RT.11/RW.5, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440 "
40,Paseban,SENEN,Sekolah Menengah Kejuruan Farmasi Tunas Bangsa,"Alamat: Jl. Salemba Tengah II No.1, RT.4/RW.8, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440 "
