Kelurahan,Kecamatan,Nama,Alamat
Mangga Dua Sel.,SAWAH BESAR,D 98,"Alamat: ITC Mangga Dua Lantai 1 Blok D No. 98, JL Mangga Dua Raya, RT.1/RW.12, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14430 "
Mangga Dua Sel.,SAWAH BESAR,Expdisi Purwa transindo,"Alamat: Jl. Mangga Dua Raya No.7, RT.1/RW.12, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,BT Com,"Alamat: Jl. Mangga Dua Abdad No.2, RT.11/RW.8, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Vention Authorized Store Mangga Dua,"Alamat: Jl. Mangga Dua Mal No.3, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,warung bu ipah,"Alamat: Jl. Mangga Besar IX/III No.6, RT.12/RW.1, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Puja Sena,"Alamat: Mall Mangga Dua, Jl. Mangga Dua Raya No.7B, RT.1/RW.12, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Cheap Souvenir,"Alamat: ITC Mangga Dua Lantai 4 Blok A/7, JL Mangga Dua Raya, Pademangan, RT.1/RW.12, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14430 "
Mangga Dua Sel.,SAWAH BESAR,PART COM HARCO A2 95,"Alamat: Mangga Dua Plaza No.17, RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Perdana System Toko,"Alamat: Jl. Mangga Dua Raya No. 1 Mangga Dua Selatan Sawah Besar Jakarta Pusat DKI Jakarta, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Toko Matahari Acesoris,"Alamat: VR7H+6HH, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,SEMAR com,"Alamat: Harco Mangga Dua Blok B Lantai Dasar No. 24 Konter, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Visual Centre Media,"Alamat: Jl. Mangga Dua Raya Blok D No.76-77, RT.1/RW.12, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Pop Art,"Alamat: ITC Mangga Dua, Lantai 4 Blok D No. 89, JL Mangga Dua Raya, Pademangan, RT.11/RW.5, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14430 "
Mangga Dua Sel.,SAWAH BESAR,Ruko Warna Warni,"Alamat: 17, Jl. Semangat No.9, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,"Jari Online (Harco Mangga Dua Plaza, Lantai 3 Blok B No. 8)","Alamat: Jl. Buana No.12 A, RT.7/RW.7, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Orion Dusit,"Alamat: Jl. Mangga Dua Raya No.Dalam, RT.1/RW.12, Mangga Dua Sel., Kecamatan Sawah Besar, Jakarta, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Mm 2000,"Alamat: Jl. Mangga Dua Raya No.1, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Retno Brother81,"Alamat: ITC Mangga Dua, Lantai 3 Blok D No.004, RT.9/RW.7, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14430 "
Mangga Dua Sel.,SAWAH BESAR,Lobi mal mangga dua,"Alamat: Komp.ruko Bahan Bangunan Blok. F4 No. 6 And 7, Jl. Mangga Dua Raya, Jakarta, RT.1/RW.12, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14430 "
Mangga Dua Sel.,SAWAH BESAR,Media Aksesoris,"Alamat: Harco Mangga Dua Plaza, Lt.3, Jalan Arteri Mangga Dua Raya, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Klik sierra,"Alamat: orion dusit lantai dasar No.9 Jl. Mangga Dua Raya No.25, Mangga Dua, Mangga Dua Sel., RT.7/RW.7, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,EMLY STORE,"Alamat: Thamrin City, Jl. Pangeran Jayakarta No.3, RT.8/RW.10, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Triho Informatiks Megah,"Alamat: Harco Mangga Dua Lantai 1 Blok B No. 33, JL Mangga Dua Raya, Sawah Besar, RT.17/RW.11, Mangga Dua Sel., Jakarta Pusat, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Notebook Expert Online,"Alamat: Jl. Semangat No.7, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,J&T EXPRESS HARCO,"Alamat: Harco Mangga Dua Plaza, Jl. Mangga Dua Raya, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Aurum Swarna Shop,"Alamat: Gedung Harcomas Mangga Dua Lantai 2 No.37 Masuk Dalam Gedung Bukan di Jembatan telp 021, RT.3/RW.6, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 6000337 "
Mangga Dua Sel.,SAWAH BESAR,ASUS STORE HARCO MANGGA DUA by Agres,"Alamat: Harco Mangga Dua Plaza, Jl. Mangga Dua Raya, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Toko Trend's Accessories,"Alamat: Ruko Harco Mangga Dua Blok i No. 43, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,"REX Kiriman Express (Royal Express Indonesia) disini ""Jual Perlengkapan Alat Kerja""","Alamat: Ps. Jemb. Merah, Jl. Raya Mangga Besar No.9, RT.9/RW.10, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Pusat Elektronik Dan Komputer Harco Mangga Dua,"Alamat: VR6H+99Q, Jl. Semangat, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Toko Refa AC Mobil,"Alamat: Jl. Mangga Besar (Stasiun) No.31, RT.2/RW.4, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Trans komputindo,"Alamat: Jl. Mangga Dua Raya G No.22, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Mediator Technology,"Alamat: Pusat Komputer Dan Elektronik Harco Mangga Dua Lantai 2 Blok A2 No. 113, JL Mangga Dua Raya, RT.17/RW.11, Mangga Dua Sel., Jakarta Pusat, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,Gedung Harco Elektronik dan Komputer Mangga Dua,"Alamat: Mangga Dua Plaza No.17, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Mangga Dua Sel.,SAWAH BESAR,INDOMAKMUR,"Alamat: Apartemen Persona Bahari, Apartment, Jl. Mangga Dua Abdad No.17, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
Harapan Mulya,KEMAYORAN,CAHAYA ABADI #3 Plat Nomor,"Alamat: Jl. Tanah Tinggi Timur No.6, RT.12/RW.6, Harapan Mulya, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Harapan Mulya,KEMAYORAN,AGEN MILAGROS SUKAMULIA,"Alamat: Jl. Sukamulia IV Kel No.125B, RT.8/RW.6, Harapan Mulya, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Harapan Mulya,KEMAYORAN,Warung Ibu Ayip,"Alamat: Jl. Cemp. Wangi 3 No.7, RT.10/RW.9, Harapan Mulya, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Harapan Mulya,KEMAYORAN,cah min,"Alamat: Jl. Cemp. Wangi I No.4, RT.12/RW.9, Harapan Mulya, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Harapan Mulya,KEMAYORAN,Tjebox,"Alamat: Jl. Cemp. Wangi 2 No.17, RT.6/RW.9, Harapan Mulya, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650 "
Harapan Mulya,KEMAYORAN,Amira Rabbit Kemayoran,"Alamat: RVJ5+F79, RT.16/RW.8, Harapan Mulya, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Harapan Mulya,KEMAYORAN,Mobile crew,"Alamat: Jl. Cemp. Wangi 3 No.39, RT.7/RW.9, Harapan Mulya, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Serdang,KEMAYORAN,Toko sembako,"Alamat: Jl. Serdang Baru Vlll No.26, RT.8/RW.5, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650 "
Serdang,KEMAYORAN,Carvil Store - Sunter Serdang,"Alamat: Jl. Serdang Baru No.15, RT.16/RW.4, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650 "
Serdang,KEMAYORAN,Toko serba 35,"Alamat: Jl. Serdang I No.43, RT.6/RW.5, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650 "
Serdang,KEMAYORAN,AGB STORE,"Alamat: Blok L-1, Jl. Serdang Baru II No.385, RT.14/RW.5, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650 "
Serdang,KEMAYORAN,Warung Ronny,"Alamat: 5, Jl. Lap.Pors Gg. III No.19, RT.5/RW.4, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650 "
Serdang,KEMAYORAN,Kreasi Nenek Ijah,"Alamat: RVR6+XPR, Jl. Kp. Irian I, RT.6/RW.6, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650 "
Serdang,KEMAYORAN,Arjuna Bordir New,"Alamat: RT.13 RW.3 No.19, Kel, RT.13/RW.3, Serdang, Kemayoran, Central Jakarta City, Jakarta 10650 "
Serdang,KEMAYORAN,BETTA AQUATIC JAKARTA,"Alamat: RVP6+W63, RT.2/RW.4, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Serdang,KEMAYORAN,Betta taruna,"Alamat: 16, Jl. Taruna V No.29, RT.3/RW.3, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650 "
Serdang,KEMAYORAN,Toko Andy Cross,"Alamat: Jl Taruna Jaya I RT 4/03 No 18, RT.4/RW.3, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650 "
Cemp. Baru,KEMAYORAN,Toko agus icha,"Alamat: Jl. Siaga XII No.16, RT.9/RW.3, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Cemp. Baru,KEMAYORAN,Ojek Abut,"Alamat: Jl. Remaja II No.29, RW.8, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Cemp. Baru,KEMAYORAN,IrOsH JaYa ShOp,"Alamat: Jl. Swadaya I No.5, RT.4/RW.4, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Cemp. Baru,KEMAYORAN,Ami Nu Amoorea,"Alamat: Gg. Cemp. Baru Timur III No.25, RT.3/RW.5, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Cemp. Baru,KEMAYORAN,Mitra Motor Bodypart,"Alamat: RVH7+FG3, RT.12/RW.3, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Cemp. Baru,KEMAYORAN,Lusi Cell,"Alamat: Jl. Cempaka Baru Tengah 1A No.59, RT.5/RW.6, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Cemp. Baru,KEMAYORAN,Lubuk cupang,"Alamat: Gg. Cumi-Cumi No.31A, RT.2/RW.8, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Cemp. Baru,KEMAYORAN,Serdang Jaya Material Shoes,"Alamat: Jl. Serdang Raya No.1A, RT.1/RW.10, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650 "
Cemp. Baru,KEMAYORAN,Raja Kambing Kemayoran,"Alamat: Jl.cempaka putih utara 4 Rt06 Rw 01 no 6, RT.6/RW.1, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650 "
Cemp. Baru,KEMAYORAN,Misis frozen,"Alamat: Jl. F No.17, RT.2/RW.10, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650 "
Cemp. Baru,KEMAYORAN,Canting Mas,"Alamat: Jalan Letjend Suprapto ITC Cempaka Mas Lantai 1 Blok L No, Jl. Letjen Suprapto No.1035, RT.12/RW.3, Cemp. Baru, Kec. Kemayoran, DKI Jakarta, Daerah Khusus Ibukota Jakarta 10640 "
Cemp. Baru,KEMAYORAN,Pancake Durian Pelawi,"Alamat: Jl. Siaga III No.10, RT.15/RW.3, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Cemp. Baru,KEMAYORAN,Gendis FROZEN,"Alamat: Jl. Letjen Suprapto, Kp. Bugis, Gg. siaga 7 RT012/03, Kel No.11A, RT.12/RW.3, Cemp. Baru, Kec. Kemayoran, Kota Madya Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Cemp. Baru,KEMAYORAN,Gercep stuff,"Alamat: Jl. Siaga IV No.28, RT.2/RW.3, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Sumur Batu,KEMAYORAN,Cempakamas,"Alamat: Jl. Letjend Suprapto No.10, RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Sumur Batu,KEMAYORAN,cempaka mas utara,"Alamat: Jl. Cemp. Mas Utara No.8, RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Sumur Batu,KEMAYORAN,Itc Cempaka Lobyy Utama,"Alamat: RVPH+338, Jl. Cemp. Mas Tim., RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Sumur Batu,KEMAYORAN,Baper_Store_,"Alamat: 4, Jl. Howitzer Raya No.H1, RW.2, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Sumur Batu,KEMAYORAN,ITC,"Alamat: Jl. Lobi Tim. ITC Cemp. Mas No.8, RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Sumur Batu,KEMAYORAN,FARIS ACC,"Alamat: Jl. Letjen Suprapto No.4, RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Sumur Batu,KEMAYORAN,Ami Cosmetic,"Alamat: Gg. Sumba 3 No.17, RT.5/RW.3, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Sumur Batu,KEMAYORAN,ITC Cempaka Mas,"Alamat: Jl. Cemp. Mas Tim. No.586, RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
Sumur Batu,KEMAYORAN,Daily Fresh,"Alamat: Jl. Ruko Cemp. Mas B No.7, RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
