,Kelurahan,Kecamatan,Nama Starbucks,Alamat
10,Petojo Sel.,GAMBIR,Jakarta,"Alamat: Bank BSI, Jl. Abdul Muis No.4, RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160 "
11,Petojo Sel.,GAMBIR,STIE Jayakusuma,"Alamat: Jl. Suryo Pranoto 1-9 Petojo Selatan Gambir Jakarta Pusat DKI Jakarta RT.14, RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160 "
12,Kb. Klp.,GAMBIR,Mulia College,"Alamat: Jl. Ir. H. Juanda No.2, RT.14/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120 "
13,Duri Pulo,GAMBIR,Akademi Wiraswasta Dewantara,"Alamat: Jl. Kh Hasyim Ashari Asrama Yon No.202, RT.2/RW.5, Duri Pulo, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150 "
14,Ps. Baru,SAWAH BESAR,Akademi Sekretari Regina Confessorum,"Alamat: Jl. Krekot Bunder Raya No.38, RT.2/RW.6, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
15,Ps. Baru,SAWAH BESAR,LP3MKA,"Alamat: Jl. Dr. Wahidin I No.12D, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 "
16,Mangga Dua Sel.,SAWAH BESAR,universitas binawan,"Alamat: VR6F+CRX, Gg. Gatep, RW.6, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
17,Mangga Dua Sel.,SAWAH BESAR,Indah,"Alamat: Jl. Mangga Besar IX/III No.15, RT.4/RW.1, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
18,Mangga Dua Sel.,SAWAH BESAR,STIKES RS Husada,"Alamat: Jl. Raya Mangga Besar No.137-139, RW.10, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730 "
19,Harapan Mulya,KEMAYORAN,STIE Jakarta International College,"Alamat: Bakso Pak Kumis, Jl. Perunggu No.53, RT.4/RW.2, Harapan Mulya, Kemayoran, Central Jakarta City, Jakarta 10640 "
20,Harapan Mulya,KEMAYORAN,Sekolah Tinggi Ilmu Ekonomi,"Alamat: Jl. Letjen Suprapto No.30D, RT.7/RW.2, Harapan Mulya, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
21,Gn. Sahari Sel.,KEMAYORAN,SITE,"Alamat: 10, RW.10, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
22,Gn. Sahari Sel.,KEMAYORAN,STIE Tamansiswa Jakarta,"Alamat: Jl. Garuda No.25, RT.7/RW.4, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
23,Gn. Sahari Sel.,KEMAYORAN,AKPER PELNI JAKARTA (KAMPUS KEMAYORAN),"Alamat: Gedung Penjualan Tiket PT. Pelni, Jl. Angkasa No.18, RT.14/RW.3, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
24,Gn. Sahari Sel.,KEMAYORAN,Universitas Dirgantara Marsekal Suryadarma (Unsurya),"Alamat: Jl. Angkasa No.1, RT.5/RW.9, Gn. Sahari Sel., Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 "
25,Cemp. Baru,KEMAYORAN,universitas yarsi,"Alamat: Jl. Swadaya IV No.49, RT.13/RW.4, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
26,Sumur Batu,KEMAYORAN,Sekolah Tinggi Bahasa Asing Pertiwi,"Alamat: RVPG+987, Jl. Letjen Soeprapto Sumur Batu Cariu Jakarta Pusat DKI Jakarta, RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
27,Sumur Batu,KEMAYORAN,Sekolah Tinggi Ilmu Komputer Prosia,"Alamat: Jl. Letjen Soeprapto Cempaka Baru Kemayoran Jakarta Pusat DKI Jakarta, RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640 "
28,Utan Panjang,KEMAYORAN,Home Mbah Jiung,"Alamat: 8, Jl. N No.H 13, RT.8/RW.3, Utan Panjang, Kemayoran, Central Jakarta City, Jakarta 10650 "
29,Senen,SENEN,"Politeknik LP3i jakarta, kampus kramat","Alamat: RRFR+JRW, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta "
30,Kenari,SENEN,"Gedung FIK, PS. MIPA, FKG","Alamat: Jl. Kenari 2 No.4, RW.5, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
31,Kenari,SENEN,Universitas Gunadarma Kampus A,"Alamat: Kampus III/5, Jl. Kenari I, RT.4/RW.5, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
