,Kelurahan,Kecamatan,Nama Starbucks,Alamat
20,Gelora,TANAH ABANG,Starbucks Senayan City,"Alamat: Senayan City Jalan Asia Afrika No.19 1 3, Jl. Asia Afrika No.19, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 "
21,Gelora,TANAH ABANG,Starbucks Reserve Senayan,"Alamat: Plaza Senayan Mall, RT.1/RW.3, Gelora, Tanah Abang, Central Jakarta City, Jakarta 10270 "
22,Gelora,TANAH ABANG,Starbucks Reserve Senayan City,"Alamat: QQCW+QMJ, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 "
23,Gelora,TANAH ABANG,Starbucks FX Sudirman,"Alamat: FX Sudirman Lantai 1, Jl. Jenderal Sudirman, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 "
24,Gelora,TANAH ABANG,Starbucks Plaza Senayan,"Alamat: QQGX+GGC, Jl. Asia Afrika, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 "
25,Karet Tengsin,TANAH ABANG,Starbucks,"Alamat: 10, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250 "
26,Karet Tengsin,TANAH ABANG,Starbucks,"Alamat: Jl. K.H. Mas Mansyur No.126, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250 "
27,Karet Tengsin,TANAH ABANG,Starbucks Sahid Sudirman Center,"Alamat: Unnamed Road, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250 "
28,Karet Tengsin,TANAH ABANG,Starbucks Intiland Tower,"Alamat: Jl. Jenderal Sudirman No.32, RT.3/RW.2, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250 "
29,Karet Tengsin,TANAH ABANG,Starbucks Reserve Menara Astra,"Alamat: 3rd floor Menara Astra, Jl. Jenderal Sudirman No.10, RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250 "
30,Karet Tengsin,TANAH ABANG,Starbucks,"Alamat: JL Jend Sudirman Kav 50, Ground Fl, Kawasan Bisnis Granadhi, RT.10/RW.11, Karet Tengsin, Jakarta, Central Jakarta City, Jakarta 12930 "
31,Kb. Melati,TANAH ABANG,Starbucks UOB Plaza,"Alamat: UOB Plaza Lantai Lobby, Jl. MH Thamrin No.10, RT.14/RW.20, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230 "
32,Kb. Melati,TANAH ABANG,Starbucks Tata Puri,"Alamat: 10, Jl. Tanjung Karang No.3, RT.10/RW.20, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230 "
33,Kp. Bali,TANAH ABANG,Starbucks Menara Thamrin,"Alamat: RR7C+MRM, RW.10, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250 "
34,Penjaringan,PENJARINGAN,Starbucks EPM,"Alamat: Jl. Pluit Raya, RT.23/RW.8, Penjaringan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440 "
