,Kelurahan,Kecamatan,Nama Starbucks,Alamat
95,Sinduadi,MLATI,Rumah Dinas Dekan FKKMK,"Alamat: Blok M nomer 4, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
96,Sinduadi,MLATI,Master of Publice Health UGM (Universitas Gadjah Mada),"Alamat: Blok M nomer 4, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
97,Sinduadi,MLATI,Fakultas Farmasi Universitas Gadjah Mada,"Alamat: 69JF+5V3, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
98,Sinduadi,MLATI,Program Studi Ners Program Studi Magister Keperawatan,"Alamat: Universitas Gadjah Mada, Jl. Farmako, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
99,Sinduadi,MLATI,"Sekretariat Bagian Anatomi, Embriologi dan Antropologi Fakultas Kedokteran Universitas Gadjah Mada","Alamat: JL. Farmako, Sekip Utara, 55281, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
100,Sinduadi,MLATI,Program Magister Ilmu Komputer,"Alamat: Fakultas MIPA Universitas Gajah Mada, Jalan Sekip Utara, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
101,Sinduadi,MLATI,Minat Studi Manajemen Informasi dan Perpustakaan - Sekolah Pascasarjana UGM,"Alamat: Fakultas MIPA Universitas Gajah Mada, Jalan Sekip Utara, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
102,Sinduadi,MLATI,BEM FK-KMK UGM,"Alamat: 69PG+F5W, JL. Teknika Utara, Pogung, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
103,Sinduadi,MLATI,Kampus Program Pendidikan Dokter Spesialis UGM,"Alamat: JL. Farmako, Sekip Utara, 55281, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
104,Sinduadi,MLATI,Program Studi Statistika Fakultas MIPA UGM,"Alamat: Jurusan Matematika 3rd Floor, Sekip Utara, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
105,Sinduadi,MLATI,Prestasi Ku,"Alamat: Jl. Plemburan No.2, Pogung Lor, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581 "
106,Sinduadi,MLATI,Sekretariat BEM KMFT UGM,"Alamat: Universitas Gadjah Mada Bulaksumur Yogyakarta Daerah Istimewa Yogyakarta 55281, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
107,Sinduadi,MLATI,Pusat Studi Energi UGM,"Alamat: Blk. K, Jl. Bhinneka Tunggal Ika, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
108,Sinduadi,MLATI,Sekolah Pascasarjana UGM,"Alamat: 69PG+G76, Jl. Teknika Utara, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
109,Sinduadi,MLATI,"Laboratorium Teknologi Mekanik, Fakultas Teknik UGM","Alamat: alan, Jl. Grafika No.2, Sendowo, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55284 "
110,Sinduadi,MLATI,Laboratory of Animal Systematics,"Alamat: 69MG+987, Jl. Teknika Sel., Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
111,Sinduadi,MLATI,Magister Perdamaian Dan Resolusi Konflik UGM,"Alamat: Gd. Sekolah Pascasarjana UGM, Jl. Pogung Kidul, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
112,Sinduadi,MLATI,Departemen Radiologi FK-KMK UGM,"Alamat: 69JF+C92, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
113,Sinduadi,MLATI,Sekretariat Direktori Donor Darah FKKMK UGM,"Alamat: Universitas Gadjah Mada, Jl. Farmako, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
